Combination,Error X,Error Y,Error Z,Error  Rij,Error Rik,Error  Rjk,Error  Rkl,Error Range,Average Rxx
1,0.41848765,-0.53095553,95.1256964,47.94136318,4.053448423,43.88791476,-1.2029454,95.12809869,24.27141794
,1.53588578,-1.94281745,207.9830389,44.56323568,2.58679062,41.97644506,-0.641353546,207.9977836,22.44195623
,2.96738712,-3.78963177,293.4735732,23.12447897,1.21288841,21.91159056,-0.287803705,293.5130403,11.63419041
,4.55359336,-5.83863139,377.4732665,14.27663684,0.700066384,13.57657046,-0.163351275,377.5458803,7.17915624
2,0.13382477,-0.47842387,51.44091097,29.3525635,3.852917382,25.49964611,-2.321713303,51.44330977,15.25671007
,0.49471784,-1.31508977,105.5851747,25.61280602,2.520952502,23.09185352,-1.539635621,105.5945231,13.19131192
,1.03111069,-2.30568747,147.9683836,10.62974558,1.195087785,9.4346578,-0.733714937,147.9899386,5.498301527
,1.75623502,-3.54469475,191.282603,4.644701787,0.695893647,3.94880814,-0.428840989,191.3235047,2.429561141
3,0.10592238,-0.20921931,20.83894258,11.90632056,0.648560768,11.2577598,-0.362718274,20.840262,6.04383985
,0.33486483,-0.57323544,42.53503599,10.34984199,0.410375784,9.939466203,-0.249698909,42.5402165,5.237345721
,0.62710049,-1.00958449,59.45048195,4.306207616,0.193023472,4.113184144,-0.119364365,59.46236053,2.182944899
,0.99989942,-1.55442544,76.64150216,1.888655564,0.112059568,1.776595996,-0.069783418,76.66378474,0.961773636
4,-0.35600706,0.64224035,-73.08331952,-39.53898238,0.690099687,-40.22908207,-4.810675033,73.08700846,21.31720979
,-1.12229037,1.74142758,-132.3271347,-18.19077351,0.424779556,-18.61555307,-2.750620941,132.3433515,9.995431771
,-2.53537805,3.7059483,-182.2722124,11.96708013,0.19913642,11.76794371,-1.280521679,182.3275119,6.303670483
,-5.25676414,7.43060455,-235.1523033,23.74080164,0.115842282,23.62495936,-0.745319694,235.3283944,12.05673074
5,3.48E-02,-3.53E-01,5.13E+01,15.97574909,3.852918677,12.12283041,-2.321714739,51.3056141,8.568303229
,0.53393567,-1.3673902,105.614943,9.387609501,2.52095244,6.866657061,-1.539635553,105.6251439,5.078713639
,1.40755005,-2.81040247,148.0944539,4.104584883,1.195087616,2.909497267,-0.733714773,148.1278058,2.235721135
,2.51567085,-4.56137503,191.4298587,2.301273177,0.695893451,1.605379726,-0.428840827,191.5007195,1.257846795
